Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676148299.6758728,806,74699,600000000,GPS1_Frame,42.337046083333334,-71.09136699166666,12.638,20.0,327711.3417368361,4689317.370829157,74699,600000000,19,T,5
1676148300.6936207,807,74700,600000000,GPS1_Frame,42.337044993333336,-71.09136653833333,12.475,31.6,327711.37610760937,4689317.248874415,74700,600000000,19,T,1
1676148301.6781354,808,74701,600000000,GPS1_Frame,42.33704178833333,-71.091363075,12.329,4.0,327711.6526791926,4689316.88596622,74701,600000000,19,T,5
1676148302.6733055,809,74702,600000000,GPS1_Frame,42.33703967833333,-71.09135490833333,11.937,5.4,327712.31972228904,4689316.6351197045,74702,600000000,19,T,5
1676148303.6727917,810,74703,600000000,GPS1_Frame,42.337034601666666,-71.09134805333333,12.007,5.4,327712.8706027238,4689316.0575051345,74703,600000000,19,T,5
1676148304.676067,811,74704,600000000,GPS1_Frame,42.33702825833333,-71.0913402,11.622,1.6,327713.50027107785,4689315.337214142,74704,600000000,19,T,5
1676148305.6728249,812,74705,600000000,GPS1_Frame,42.337020876666664,-71.091333855,11.404,1.7,327714.0028408333,4689314.504680295,74705,600000000,19,T,5
1676148306.6729531,813,74706,600000000,GPS1_Frame,42.33701314333333,-71.091329535,11.254,6.9,327714.33762195555,4689313.637199522,74706,600000000,19,T,5
1676148307.6728716,814,74707,600000000,GPS1_Frame,42.33700818166667,-71.09132464166667,11.225,6.9,327714.72720615205,4689313.0763296075,74707,600000000,19,T,5
1676148308.6869621,815,74708,600000000,GPS1_Frame,42.33699356666666,-71.09133367166666,9.636,7.9,327713.94336220645,4689311.471741125,74708,600000000,19,T,5
1676148309.6798513,816,74709,600000000,GPS1_Frame,42.336974876666666,-71.09136297166667,6.697,0.0,327711.47845681047,4689309.455725352,74709,600000000,19,T,1
1676148310.6849709,817,74710,600000000,GPS1_Frame,42.336988526666666,-71.09129234166667,11.491,17.2,327717.3345459888,4689310.828347654,74710,600000000,19,T,1
1676148311.688221,818,74711,600000000,GPS1_Frame,42.33698639333333,-71.09124034,15.324,8.8,327721.61284699617,4689310.486097606,74711,600000000,19,T,1
1676148312.6708503,819,74712,600000000,GPS1_Frame,42.33698369166667,-71.09118795333333,18.135,4.8,327725.92131429765,4689310.079961078,74712,600000000,19,T,5
1676148313.6719408,820,74713,600000000,GPS1_Frame,42.336976998333334,-71.09111478,20.194,4.4,327731.93137955817,4689309.188470376,74713,600000000,19,T,5
